,Date,Account Number,Balance,AccountType_actual,AccountType
0,2014-01-02,0,-1050229.5495698843,Limited Company,Personal
1,2014-01-03,0,-204295.86366551992,Limited Company,Personal
2,2014-01-04,0,-259998.58937487693,Limited Company,Personal
3,2014-01-05,0,-1274113.6917577614,Limited Company,Personal
4,2014-01-06,0,-226937.82896000796,Limited Company,Personal
5,2014-01-07,0,1430735.9006792975,Limited Company,Personal
6,2014-01-08,0,1408719.957930546,Limited Company,Personal
7,2014-01-09,0,494316.54917086667,Limited Company,Personal
8,2014-01-10,0,-1478516.5111644196,Limited Company,Personal
9,2014-01-11,0,1830183.5531605228,Limited Company,Personal
10,2014-01-12,0,-1989352.933006999,Limited Company,Personal
11,2014-01-13,0,-370316.84236723196,Limited Company,Personal
12,2014-01-13,0,1664152.5429546582,Limited Company,Personal
13,2014-01-15,0,707576.002399344,Limited Company,Personal
14,2014-01-16,0,1693277.147641169,Limited Company,Personal
15,2014-01-17,0,-7787.5647166993585,Limited Company,Personal
16,2014-01-18,0,-204295.86366551992,Limited Company,Personal
17,2014-01-19,0,120026.39071368775,Limited Company,Personal
18,2014-01-20,0,-216398.64060588213,Limited Company,Personal
19,2014-01-21,0,-86795.04357716182,Limited Company,Personal
20,2014-01-23,0,-1131409.6234589082,Limited Company,Personal
21,2014-01-24,0,-2810316.3323926665,Limited Company,Personal
22,2014-01-26,0,-1264636.2586557383,Limited Company,Personal
23,2014-01-27,0,-2416670.310753128,Limited Company,Personal
24,2014-01-29,0,-2793868.957567727,Limited Company,Personal
25,2014-01-30,0,-4098459.4524522894,Limited Company,Personal
26,2014-01-31,0,-204295.86366551992,Limited Company,Personal
27,2014-02-01,0,-2288323.4202766907,Limited Company,Personal
28,2014-02-02,0,-703341.1482272728,Limited Company,Personal
29,2014-02-03,0,-1593482.853001752,Limited Company,Personal
30,2014-02-04,0,-1334243.1957416697,Limited Company,Personal
31,2014-02-06,0,-205337.76342277325,Limited Company,Personal
32,2014-02-07,0,2190806.389504683,Limited Company,Personal
33,2014-02-08,0,-618517.826384023,Limited Company,Personal
34,2014-02-09,0,-739582.1080333353,Limited Company,Personal
35,2014-02-10,0,-541330.4531095303,Limited Company,Personal
36,2014-02-12,0,6666.445970222558,Limited Company,Personal
37,2014-02-13,0,-1607140.1132427952,Limited Company,Personal
38,2014-02-14,0,-51044.70631729232,Limited Company,Personal
39,2014-02-15,0,-3199308.2219904778,Limited Company,Personal
40,2014-02-16,0,-2474139.6744349985,Limited Company,Personal
41,2014-02-17,0,85946.99229387939,Limited Company,Personal
42,2014-02-18,0,-1527471.2232003517,Limited Company,Personal
43,2014-02-20,0,-299143.9075144504,Limited Company,Personal
44,2014-02-21,0,-1742133.1029791255,Limited Company,Personal
45,2014-02-21,0,-994028.1032282372,Limited Company,Personal
46,2014-02-23,0,2006554.0377334475,Limited Company,Personal
47,2014-02-24,0,564417.0646044165,Limited Company,Personal
48,2014-02-25,0,-1587594.4106771043,Limited Company,Personal
49,2014-02-25,0,-497160.19156584307,Limited Company,Personal
50,2014-02-26,0,-506277.0978748232,Limited Company,Personal
51,2014-02-27,0,2278009.6578710107,Limited Company,Personal
52,2014-02-28,0,-338811.0561995135,Limited Company,Personal
53,2014-03-01,0,-86800.95518001271,Limited Company,Personal
54,2014-03-02,0,1487290.1806321954,Limited Company,Personal
55,2014-03-04,0,1745548.9977041965,Limited Company,Personal
56,2014-03-05,0,-942098.9641688389,Limited Company,Personal
57,2014-03-06,0,1704867.7763102313,Limited Company,Personal
58,2014-03-07,0,-665659.0125289392,Limited Company,Personal
59,2014-03-07,0,1047630.6718271929,Limited Company,Personal
60,2014-03-08,0,265839.8203956001,Limited Company,Personal
61,2014-03-09,0,368254.6551580184,Limited Company,Personal
62,2014-03-10,0,839447.0989643799,Limited Company,Personal
63,2014-03-11,0,740532.0545609775,Limited Company,Personal
64,2014-03-12,0,471545.2169509774,Limited Company,Personal
65,2014-03-13,0,1653534.9803110238,Limited Company,Personal
66,2014-03-14,0,-2089167.6747757897,Limited Company,Personal
67,2014-03-15,0,712836.0332428566,Limited Company,Personal
68,2014-03-16,0,949311.727541398,Limited Company,Personal
69,2014-03-18,0,1311341.444383208,Limited Company,Personal
70,2014-03-20,0,599661.2309927864,Limited Company,Personal
71,2014-03-20,0,-597028.0972698613,Limited Company,Personal
72,2014-03-21,0,-1934307.0025705476,Limited Company,Personal
73,2014-03-21,0,694808.3169160676,Limited Company,Personal
74,2014-03-23,0,1502712.0138337973,Limited Company,Personal
75,2014-03-24,0,-1059811.4479825601,Limited Company,Personal
76,2014-03-25,0,-2295215.2154687694,Limited Company,Personal
77,2014-03-26,0,-975371.813458591,Limited Company,Personal
78,2014-03-28,0,-2610331.504837144,Limited Company,Personal
79,2014-03-28,0,1290316.869334464,Limited Company,Personal
80,2014-03-30,0,-2055199.1189094356,Limited Company,Personal
81,2014-03-31,0,-651818.6140708101,Limited Company,Personal
82,2014-04-01,0,-567991.9641739613,Limited Company,Personal
83,2014-04-01,0,-106898.4005967146,Limited Company,Personal
84,2014-04-02,0,-3029253.92064985,Limited Company,Personal
85,2014-04-03,0,-3151532.4293285618,Limited Company,Personal
86,2014-04-05,0,-606531.4037569647,Limited Company,Personal
87,2014-04-06,0,-1168928.0563467888,Limited Company,Personal
88,2014-04-07,0,-2713689.969082027,Limited Company,Personal
89,2014-04-08,0,-3479626.7114761546,Limited Company,Personal
90,2014-04-09,0,1018883.9238379728,Limited Company,Personal
91,2014-04-11,0,-2797642.6656889776,Limited Company,Personal
92,2014-04-12,0,-2726374.4872210864,Limited Company,Personal
93,2014-04-12,0,-799910.3390500664,Limited Company,Personal
